file,text
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000131.wav,那很容易透過AI分享方式
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000132.wav,來接收到我們大醫院的服務
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000133.wav,就好像
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000134.wav,青梅院呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000135.wav,可以走遍那個各種偏鄉離島一樣
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000136.wav,那使用AI的預測呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000137.wav,我們也收集到一些初步的成果
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000138.wav,都覺得還蠻不錯的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000139.wav,我們觀察一些
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000140.wav,有用AI的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000141.wav,的病人跟沒有用AI的病人
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000142.wav,一些一些指標都有改善
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000143.wav,比如說死亡率有15的下降啊
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000144.wav,半血症有15的下降等等
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000145.wav,一分鐘可以嗎
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000146.wav,謝謝
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000147.wav,謝謝
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000148.wav,那其他也有一些
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000149.wav,進步
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000150.wav,那這整套系統我們有發明
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000151.wav,我們獲得發明專利
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000152.wav,那也發表到很多論文
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000153.wav,說我們的模型是經得起那個
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000154.wav,學術的考驗
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000155.wav,那也獲得很多獎項
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000156.wav,包含國家新創獎
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000157.wav,還有一些其他獎項
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000158.wav,那也去發表
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000159.wav,在學衛發表也獲得很多的肯定
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000160.wav,那
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000161.wav,我們
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000162.wav,除了這急診之外呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000163.wav,我也花一點時間跟各位報告
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000164.wav,目前
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000165.wav,青梅院呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000166.wav,我開發至少30類的這種
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000167.wav,個性的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000168.wav,的那個病人的風險預測
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000169.wav,包含急診部的麻醉的麻醉風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000170.wav,呼吸照護的風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000171.wav,生殖遺血的懷孕率的預測
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000172.wav,生產病的透析的風險預測
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000173.wav,小藥科的預測等等
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000174.wav,那歡迎各位如果有興趣
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000175.wav,也可以跟我們聯絡
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000176.wav,那我們也很適合當各位的一個
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000177.wav,藏醫院證的平台
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000178.wav,以上報告謝謝
