audio_path,start,end,text
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,57.960,58.960,會與到廠醫院
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,58.960,60.320,真正質量產的程度
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,60.320,62.560,如果以TIL的Label來看
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,62.560,64.160,大部分都是七分以上
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,64.160,65.320,首先第一個是
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,65.320,67.120,我們已經在市場上
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,67.120,70.400,已經是量產多年一個下肢的外國科技器人
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,70.400,71.600,那我們可以看得到
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,71.600,72.720,我們這下肢是外國科技線
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,72.720,74.480,基本上是幫助下肢虛弱的
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,74.480,76.320,這樣一個虛幻的虛弱的病人
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,76.320,78.080,比方說腦中風腦性麻痺
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,78.080,79.760,脊椎損傷這樣的一個病人
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,79.760,82.120,我們可以看到到上面有四個影片
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,82.120,85.160,從最左邊小朋友
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,85.160,87.280,最左邊的小朋友腦性麻痺
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,87.280,90.560,到年輕人因為可能車禍意外腦創傷
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,90.560,92.600,到年紀稍大的8斤甚至正
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,92.600,95.040,甚至年紀高8、90歲
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,95.040,97.120,可能有重風腦腦腫瘤的風險
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,97.120,98.800,不同這樣的一個領域的
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,98.800,100.520,一個病棧的範圍
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,100.520,103.400,Fleework都可以做一個適用的使用
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,103.400,105.760,還有一個特別的產品叫Ninbo
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,105.760,107.800,它是一個關節活動的訓練機器人
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,107.800,109.800,它主要的特色是可以應用在
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,109.800,112.800,人體六大關節的一個歐穎穿的設計
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,112.840,115.360,最主要是應用的範圍非常的廣泛
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,115.360,118.000,從極少症推化性關節員骨核疏後
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,118.000,119.640,還有一部分的神經損傷
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,120.840,123.680,這是一個很特別的在附建
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,123.680,127.080,你以數據導向的一個
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,127.080,128.800,治療的一個附建的工具
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,128.800,131.320,我們從評估到訓練再評估
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,131.320,132.840,從事在我們所有的系統
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,132.840,134.800,因為一件都可以完成
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,134.800,137.480,最主要這個產品的特色是非常的輕便
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,137.480,140.080,而且即時的有個Papyrite
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,140.760,143.160,可以視訊出來的會即時訓練狀況
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,143.160,146.160,可以去記錄所訓練的目標
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,146.160,147.880,可以看一下這個畫面動作
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,147.880,150.680,這是我們實際用在一些骨科醫院裡面
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,150.680,154.360,在針對不同的病人在手或者是腳
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,154.360,156.920,特別的關節去做一個數後的
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,156.920,158.080,一個附建的介入
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,160.160,161.080,對 麻煩下一頁
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,162.760,166.080,剛剛是骨科的目前在重瘋的領域
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,166.080,168.080,針對上職不同的關節
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,168.160,171.080,透過佔機器不同的轉換
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,171.080,173.560,O引彎的design都可以去滿足
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,173.560,176.160,這個階段的關節種的訓練
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,176.160,177.480,我們現在也開發
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,177.480,179.880,所謂輕量型的一個
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,179.880,183.680,當關節的吸關節動力輔助的外骨格
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,183.680,185.800,它是一個穿戴式非常簡單
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,185.800,186.800,容易操作
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,186.800,189.080,我們可以看一下這個醫療應用的影片
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,195.240,197.160,我們可以看到這個影片
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,197.160,199.280,左邊是針對這種所謂
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,199.280,202.520,實質認代受傷骨科數後的病人
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,202.520,204.640,透過比較簡易型態的外骨格
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,204.640,206.920,可以讓它在臨床上
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,206.920,208.760,作為附建的過程當中
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,208.760,210.320,一個很好的工具
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,210.320,212.440,同時我們看右邊的影片
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,212.440,214.200,是針對重瘋的病人
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,214.200,215.400,在數後
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,215.400,218.480,在所謂重瘋在黃金附建期的時候
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,218.480,220.600,怎麼樣透過這個機器
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,220.600,222.240,當關節的一個輔助訓練
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,222.240,224.640,能夠讓它有更好的一個回復的情況
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,224.640,226.520,這是在我們目前當關節外骨
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,227.520,229.880,麻煩主持人幫我播一下影片
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,229.880,230.960,不只如此
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,230.960,234.880,我們也讓它的使用族群可以運用更觀光
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,234.880,235.760,我可以看得到
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,235.760,238.000,在日常生活任何動作的輔助
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,238.000,241.120,還有在針對一些高階運動員的訓練
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,241.120,244.280,接下來是我們的工業用的外骨格
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,244.280,245.240,麻煩下一頁
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,245.240,246.720,我們直接看影片的部分
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,248.520,251.400,下面就是一個我們實際在demo的影片
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,251.400,252.360,因為時間的關係
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,252.360,255.280,我想直接用影片來去跟各位表達
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,255.320,257.840,我們想像在一個工作場合裡面
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,257.840,259.200,可能很多勞動工作者
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,259.200,260.920,需要這種環繞的作業
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,260.920,263.440,那這種所謂被動式的
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,263.440,264.680,無動力輔助外骨格
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,264.680,267.080,可以協助在這樣的一個族群
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,267.080,268.920,可以降低他們的工作傷害
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,268.920,270.520,提升他們的工作效率
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,271.640,273.680,在我們實際上的過去的經驗
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,273.680,276.440,它可以提升26%的一個工作效率
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,276.440,278.320,甚至有些在高空作業
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,278.320,280.640,需要去支撐身體的一個平衡
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,280.640,282.960,以及力量維持的這種
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,282.960,284.720,上肢輔助型的外骨格
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,284.800,287.480,目前寡婦寡妻也正在研發當中
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,287.480,289.560,麻煩下一頁
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,289.560,291.680,最後一個影片一分鐘55秒
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,294.280,296.160,這個是一個也是蠻特別的
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,296.160,297.560,一個動力背包的影片
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,297.560,300.640,那主要就是讓這些勞動工作者
